country_code,title,job_category,company_name,city,contract_type,workday,salary_min,salary_max,salary_period,salary_currency,salary_type,remote,publish_date
es,Técnico Gestión de la Demanda,Informática y telecomunicaciones,Atento España - Estructura,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Java - SpringBoot - Proyecto estable - Teletrabajo,Informática y telecomunicaciones,AGIO GLOBAL TECHNOLOGY,Madrid,Contrato indefinido,Jornada completa,40000.0,45000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,Consultor SAP Hana Ingles Alto (Remoto),Informática y telecomunicaciones,AIRON Sistemas S.L.,Madrid,Contrato indefinido,Jornada completa,27000.0,30000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,ANDROID DEVELOPER. INGLÉS ALTO. 100% REMOTO,Informática y telecomunicaciones,MODIS,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-07-12
es,Analista Funcional TEMPORAL,Informática y telecomunicaciones,Atento España - Estructura,Madrid,Contrato indefinido,Jornada completa,24000.0,27000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,TÉCNICO/A INFORMÁTICO/A,Informática y telecomunicaciones,Hiring,Maresme Central,Contrato indefinido,Jornada completa,18000.0,21000.0,YEAR,EUR,GROSS,Presencial,2022-07-12
es,Desarrollador/a IOS Swift,Informática y telecomunicaciones,VIEWNEXT  Profesionales,Madrid,Contrato indefinido,Jornada completa,,,,,,,2022-07-12
es,Técnico Microinformático,Informática y telecomunicaciones,GESEIN,Madrid,Contrato otros contratos,Jornada completa,,,,,,,2022-07-12
es,V&V Engineer,Informática y telecomunicaciones,ORBITAL GRUPO CAF,Getafe,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-07-12
es,Analista Funcional / Agile,Informática y telecomunicaciones,Grupo Hasten,Valencia,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,PROGRAMADOR FRONT-END,Informática y telecomunicaciones,IRIUM SOLUCIONES Y SISTEMAS,Málaga,Contrato indefinido,Jornada completa,30000.0,40000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,Consultor/a Virtualización,Informática y telecomunicaciones,Sermicro,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Programador/a SQL,Informática y telecomunicaciones,INETUM Cataluña,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Consultor/a SAP R3 (Olot),Informática y telecomunicaciones,Paykan,Olot,Contrato indefinido,Jornada completa,,,,,,,2022-07-12
es,Técnico/a departamento IT,Informática y telecomunicaciones,NFOQUE ADVISORY SERVICES,Madrid,Contrato otros contratos,Jornada completa,,,,,,,2022-07-12
es,Android Developer,Informática y telecomunicaciones,Manpower Group Solutions,Málaga,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,DBA Oracle,Informática y telecomunicaciones,Grupo Hasten,Valencia,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Técnico/a Microinformático,Informática y telecomunicaciones,Sermicro,Madrid,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-07-12
es,Scrum Máster con Inglés (Tres Cantos),Informática y telecomunicaciones,EXIS-TI,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Senior Network Technician (N2),Informática y telecomunicaciones,Logicalis Spain,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Técnico de soporte Onsite,Informática y telecomunicaciones,Fractalia Remote Systems S.L.,Murcia,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-07-12
es,Técnico de Sistemas Junior,Informática y telecomunicaciones,Atento España - Estructura,Madrid,Contrato indefinido,Jornada completa,24000.0,27000.0,YEAR,EUR,GROSS,Presencial,2022-07-12
es,TÉCNICO SOPORTE T-SQL,Informática y telecomunicaciones,Talent Search People,Viladecans,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,SYMFONY DEVELOPER // INCORPORACIÓN DIRECTA CLIENTE FINAL//100% TELETRABAJO,Informática y telecomunicaciones,HUBTALENT,Madrid,Contrato indefinido,Jornada completa,30000.0,45000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,Help Desk LeveI 1 - Banca Corporativa,Informática y telecomunicaciones,ADECCO,Madrid,Contrato de duración determinada,Jornada completa,30000.0,36000.0,YEAR,EUR,GROSS,Presencial,2022-07-12
es,Consultor/a Funcional D365 FO,Informática y telecomunicaciones,HH Hunters,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-07-12
es,Programador/a Desarrollador/a  ASP.NET,Informática y telecomunicaciones,European Quality Assurance EQA,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Instaladores/as de Fibra óptica,Informática y telecomunicaciones,Sermicro,A Coruña,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-07-12
us,Senior Project Manager,Management & Consulting,ZBETA CONSULTING INC,"Atlanta, GA",,,88250.0,122560.0,YEAR,USD,,,2022-08-26
es,Analista Programador/a Java-Angular (REMOTO),Informática y telecomunicaciones,INETUM Cataluña,Barcelona,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-07-12
es,Técnico Soporte N2 (M365),Informática y telecomunicaciones,Randstad Technologies,Barcelona,Contrato indefinido,Jornada completa,24000.0,30000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,MOZO/A ELECTRÓNICO INFORMÁTICO,Informática y telecomunicaciones,Temporing,Reus,Contrato otros contratos,Jornada completa,1200.0,1500.0,MONTH,EUR,GROSS,Presencial,2022-07-12
es,Técnico/a Helpdesk Málaga,Informática y telecomunicaciones,ADECCO,Málaga,Contrato de duración determinada,Jornada completa,1200.0,1800.0,MONTH,EUR,GROSS,Presencial,2022-07-12
us,Deal Management Analyst (Hybrid – Austin or Atlanta),Management & Consulting,Stage 4 Solutions Inc,"Atlanta, GA",,,43325.0,67513.0,YEAR,USD,,,2022-08-26
es,Técnico de Soporte Junior SQL,Informática y telecomunicaciones,atSistemas,Pontevedra,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-07-12
es,Programador/a Java Swing (100% Teletrabajo),Informática y telecomunicaciones,KEAPPS,Madrid,Contrato indefinido,Jornada completa,36000.0,36000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,Ingeniero/a consultoría,Informática y telecomunicaciones,SOFTTEK,Las Rozas de Madrid,Contrato indefinido,Jornada completa,,,,,,,2022-07-12
es,PENTESTER // PROYECTO SECTOR PÚBLICO // CONTRATO INDEFINIDO // HORARIO FLEXIBLE,Informática y telecomunicaciones,HUBTALENT,Madrid,Contrato indefinido,Jornada completa,30000.0,64000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
us,Customer Support Specialist (Entry Level Technical Experience Preferred),Management & Consulting,Moody's Investors Service,"Atlanta, GA",,,45242.0,70755.0,YEAR,USD,,,2022-08-26
us,Scientific Applications Support Senior Analyst,Management & Consulting,Accenture,"Atlanta, GA",,,,,YEAR,USD,,,2022-08-26
us,Front-End Web Development Lead,Management & Consulting,Accenture,"Atlanta, GA",,,,,YEAR,USD,,,2022-08-26
es,Analista Programador JAVA con Angular,Informática y telecomunicaciones,SOTEC CONSULTING,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Business Development Manager - SaaS Software,Informática y telecomunicaciones,LKS SELECCIÓN Y FORMACIÓN,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,IT Project Manager,Informática y telecomunicaciones,Itequia,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
us,"Partner, Capital Project Delivery Tech Sector (Partner Level)",Management & Consulting,ERM Group,"Atlanta, GA",,,47661.0,76909.0,YEAR,USD,,,2022-08-26
es,Administrador de Sistemas y AD Avanzado: AD/DNS,Informática y telecomunicaciones,"Infortec Consultores, S.A.U-.Zona Centro",Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
us,Internal Audit Manager- Bank- Square Financial Services,Management & Consulting,Block,"Atlanta, GA",,,61557.0,96029.0,YEAR,USD,,,2022-08-26
us,Experience Design Senior Manager,Management & Consulting,Accenture,"Atlanta, GA",,,,,YEAR,USD,,,2022-08-26
es,Recién titulados/as DAM/DAW/Ingeniería informática..,Informática y telecomunicaciones,VIEWNEXT  Primer empleo,Salamanca,Contrato formativo,Jornada completa,,,,,,Híbrido,2022-07-12
es,Técnicos Soporte Informático (con inglés) (con o sin experiencia),Informática y telecomunicaciones,INELCOM,A Coruña,Contrato otros contratos,Jornada completa,15000.0,21000.0,YEAR,EUR,GROSS,Presencial,2022-07-12
es,Consultor/a de Seguridad de Gestión de vulnerabilidades,Informática y telecomunicaciones,Grupo SIA,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Developers Android,Informática y telecomunicaciones,BCNC GROUP,L'Hospitalet de Llobregat,Contrato indefinido,Jornada completa,30000.0,36000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,Comienza tu carrera como Ingeniero de Preventa,Informática y telecomunicaciones,Devoteam - Cloud,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Consultor/a BPM,Informática y telecomunicaciones,Inycom,Alicante/Alacant,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
us,Truck Driver Class A,Management & Consulting,"J&K, LLC","Atlanta, GA",,,78000.0,130000.0,YEAR,USD,,,2022-08-26
es,Administrador de servidores web con Inglés,Informática y telecomunicaciones,DEVOTEAM,Alcobendas,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Desarrollado C ++ Firmware,Informática y telecomunicaciones,LKS SELECCIÓN Y FORMACIÓN,Vitoria-Gasteiz,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Project Manager - PMO Redes / IT,Informática y telecomunicaciones,ITALTEL,Alcobendas,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Technical Client Support,Informática y telecomunicaciones,ReviewPro,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,TECNICO/A FRIGORISTA,Informática y telecomunicaciones,Insyte instalaciones,Sevilla,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-07-12
es,Instaladores/as de Fibra Óptica,Informática y telecomunicaciones,Sermicro,Vigo,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-07-12
es,EUSKALTEL CARREFOUR OIARTZUN,Informática y telecomunicaciones,Nicsol System,Oiartzun,Contrato indefinido,Jornada completa,1200.0,2400.0,MONTH,EUR,GROSS,Presencial,2022-07-12
es,Técnico/a de sistemas y base de datos,Informática y telecomunicaciones,Inycom,Zaragoza,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Programador/a .Net,Informática y telecomunicaciones,M & GT Consulting,Barcelona,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,PROJECT MANAGER IT (PERFIL JUNIOR),Informática y telecomunicaciones,"Infortec Consultores, S.A.U-.Zona Centro",Sevilla,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Junior Software Developer (Tech Support) - Google Workspace - (Barcelona),Informática y telecomunicaciones,Webhelp Spain,Barcelona,Contrato indefinido,Jornada completa,24000.0,27000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,Gestora/or  Financiero LDA,Informática y telecomunicaciones,ADECCO,Tres Cantos,Contrato de duración determinada,Jornada completa,30000.0,30000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,ADMINISTRADOR SISTEMAS,Informática y telecomunicaciones,Emergia Contact Center,Madrid,Contrato indefinido,Jornada completa,36000.0,40000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,Programador/a Dynamics ,Informática y telecomunicaciones,Grupo Crit: Trabajemos juntos,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,Programador/Analista Programador AS400 y RPG,Informática y telecomunicaciones,SERVICIOS UNIFICADOS CATORCE,Madrid,Contrato indefinido,Jornada completa,27000.0,36000.0,YEAR,EUR,GROSS,Presencial,2022-07-12
es,FULLSTACK DEVELOPER SENIOR,Informática y telecomunicaciones,ISPROX,Madrid,Contrato indefinido,Jornada completa,43000.0,54000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,Analista Programador Oracle - PL/SQL _ Teletrabajo_ Hasta 45K,Informática y telecomunicaciones,ORIZON Soluciones Tecnológicas,Madrid,Contrato indefinido,Jornada completa,40000.0,45000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-07-12
es,Programador .Net,Informática y telecomunicaciones,CMV Consultores,Bilbao,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-07-12
es,Java team lead / CTO,Informática y telecomunicaciones,addSolutions,Barcelona,Contrato indefinido,Jornada completa,40000.0,45000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,"Recién Graduado/a Universitario en Ingeniería de Telecomunicaciones, Informática, Telemática Sistemas y Redes.",Informática y telecomunicaciones,MINSAIT (Indra Soluciones TI),Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-07-12
es,"QA Tester, con inglés y alemán (70% TELETRABAJO)",Informática y telecomunicaciones,Soltel,Barcelona,Contrato indefinido,Jornada completa,36000.0,42000.0,YEAR,EUR,GROSS,Híbrido,2022-07-12
es,Técnico/a de Soporte para Munich,Informática y telecomunicaciones,SEGULA TECNOLOGIAS,Munich,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-07-12
