companyDetails/industry/__typename,companyDetails/industry/industryName,companyDetails/industry/sectorName,companyDetails/name,companyDetails/revenue,companyDetails/sector,datePosted,employerName,jobLocation,jobTitle,salary/currency,salary/max,salary/min,salary/payPeriod,salary/source
EmployerIndustry,Banking & Lending,Financial Services,Santander,$500 million to $1 billion (USD),Financial Services,2022-12-02T00:00:00.000Z,Santander,Boadilla del Monte,Client Data Analytics & Models Analyst,EUR,,,,
EmployerIndustry,Banking & Lending,Financial Services,Santander,$500 million to $1 billion (USD),Financial Services,2023-01-23T00:00:00.000Z,Santander,Boadilla del Monte,Pricing Data Analytics & Models Analyst,EUR,,,,
EmployerIndustry,Information Technology Support Services,Information Technology,Logicalis,$1 to $5 billion (USD),Information Technology,2023-02-02T00:00:00.000Z,Logicalis,Madrid,Data Analyst,EUR,,,,
EmployerIndustry,Banking & Lending,Financial Services,BBVA,Unknown / Non-Applicable,Financial Services,2022-11-08T00:00:00.000Z,BBVA,Madrid,DATA SCIENTIST ANALYST I,EUR,,,,
,,,Alkemy,,,2022-11-24T00:00:00.000Z,Alkemy,Spain,Data Analyst Trainee,EUR,,,,
EmployerIndustry,Biotechnology,Pharmaceutical & Biotechnology,Siemens Healthineers,$10+ billion (USD),Pharmaceutical & Biotechnology,2023-01-31T00:00:00.000Z,Siemens Healthineers,Spain,Data Analyst,EUR,,,,
EmployerIndustry,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,IQVIA,$10+ billion (USD),Pharmaceutical & Biotechnology,2022-09-15T00:00:00.000Z,IQVIA,Madrid,Analyst - Business Strategy Consulting,EUR,,,,
,,,MBD Analytics,,,2022-12-19T00:00:00.000Z,MBD Analytics,Spain,Data Analyst,EUR,,,,
EmployerIndustry,Internet & Web Services,Information Technology,FeverUp,$25 to $100 million (USD),Information Technology,2023-02-03T00:00:00.000Z,FeverUp,Madrid,Operations Data Analyst,EUR,,,,
EmployerIndustry,Information Technology Support Services,Information Technology,Amadeus,$1 to $5 billion (USD),Information Technology,2023-02-03T00:00:00.000Z,Amadeus,Madrid,Portfolio & Strategy Analyst (Madrid or Nice),EUR,,,,
EmployerIndustry,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,IQVIA,$10+ billion (USD),Pharmaceutical & Biotechnology,2023-01-25T00:00:00.000Z,IQVIA,Madrid,"Data Analytics Analyst, SAS Programming - European Languages Speaker",EUR,,,,
EmployerIndustry,Business Consulting,Management & Consulting,Alvarez and Marsal,$1 to $5 billion (USD),Management & Consulting,2023-01-31T00:00:00.000Z,Alvarez and Marsal,Madrid,"Analyst/Associate, Global Portfolio Advisory",EUR,,,,
EmployerIndustry,Business Consulting,Management & Consulting,Alvarez and Marsal,$1 to $5 billion (USD),Management & Consulting,2023-01-31T00:00:00.000Z,Alvarez and Marsal,Madrid,"Analyst, Valuations",EUR,,,,
,,,IAG GBS LIMITED SUCURSAL EN ESPAÑA,,,2022-12-23T00:00:00.000Z,IAG GBS LIMITED SUCURSAL EN ESPAÑA,Madrid,PRÁCTICAS DATA ANALYST MADRID,EUR,,,,
EmployerIndustry,Banking & Lending,Financial Services,BNP Paribas,$10+ billion (USD),Financial Services,2023-01-16T00:00:00.000Z,BNP Paribas,Madrid,Data Management Analyst BNP PARIBAS,EUR,,,,
EmployerIndustry,Banking & Lending,Financial Services,BNP Paribas,$10+ billion (USD),Financial Services,2022-12-07T00:00:00.000Z,BNP Paribas,Madrid,Data Analyst BNP Paribas Personal Finance,EUR,,,,
,,,Grupo PROEDUCA,Unknown / Non-Applicable,,2022-09-22T00:00:00.000Z,Grupo PROEDUCA,Madrid,HR Data Analyst,EUR,,,,
EmployerIndustry,Advertising & Public Relations,Media & Communication,GroupM,Unknown / Non-Applicable,Media & Communication,2023-01-18T00:00:00.000Z,GroupM,Madrid,Data Analyst,EUR,,,,
EmployerIndustry,Business Consulting,Management & Consulting,Oliver Wyman Group,$1 to $5 billion (USD),Management & Consulting,2021-11-17T00:00:00.000Z,Oliver Wyman Group,Madrid,Oliver Wyman Digital: Data & Analytics - Analyst/ Senior Analyst/ - Madrid (Spain),EUR,,,,
EmployerIndustry,Banking & Lending,Financial Services,BNP Paribas,$10+ billion (USD),Financial Services,2022-08-23T00:00:00.000Z,BNP Paribas,Madrid,Financial Reporting Analyst Intern,EUR,,,,
EmployerIndustry,Enterprise Software & Network Solutions,Information Technology,Scalefast,Unknown / Non-Applicable,Information Technology,2022-09-27T00:00:00.000Z,Scalefast,Madrid,Data Analyst,EUR,,,,
EmployerIndustry,Real Estate,Real Estate,MVGM,Unknown / Non-Applicable,Real Estate,2022-11-14T00:00:00.000Z,MVGM,Madrid,Data Analyst,EUR,,,,
EmployerIndustry,Computer Hardware Development,Information Technology,Digimind,$5 to $25 million (USD),Information Technology,2022-10-25T00:00:00.000Z,Digimind,Madrid,Internship - Junior Social Media Analyst - Madrid,EUR,,,,
,,,Perfumes Loewe,Unknown / Non-Applicable,,2022-12-29T00:00:00.000Z,Perfumes Loewe,Madrid,International Business Analyst,EUR,,,,
EmployerIndustry,Banking & Lending,Financial Services,HIPOGES IBERIA,Unknown / Non-Applicable,Financial Services,2023-01-12T00:00:00.000Z,HIPOGES IBERIA,Madrid,Data Analyst Specialist,EUR,,,,
EmployerIndustry,Advertising & Public Relations,Media & Communication,Havas Group,$1 to $5 billion (USD),Media & Communication,2022-08-22T00:00:00.000Z,Havas Group,Madrid,Graduate Program INTERNATIONAL FINANCE ANALYST,EUR,,,,
EmployerIndustry,Business Consulting,Management & Consulting,Boston Consulting Group,$5 to $10 billion (USD),Management & Consulting,2022-01-26T00:00:00.000Z,Boston Consulting Group,Madrid,Analyst - GeoAnalytics,EUR,,,,
EmployerIndustry,Computer Hardware Development,Information Technology,Incode Technologies,$5 to $25 million (USD),Information Technology,2022-10-19T00:00:00.000Z,Incode Technologies,Madrid,Data Labelling (Spain),EUR,,,,
EmployerIndustry,Information Technology Support Services,Information Technology,Cobee,Unknown / Non-Applicable,Information Technology,2023-01-23T00:00:00.000Z,Cobee,Madrid,Data Analyst,EUR,,,,
EmployerIndustry,Business Consulting,Management & Consulting,McKinsey & Company,Unknown / Non-Applicable,Management & Consulting,2022-04-06T00:00:00.000Z,McKinsey & Company,Madrid,Business Analyst - Private Equity & Principal Investors,EUR,,,,
