"title","description","city","contract_type","workday","company_name","salary_min","salary_max","salary_period","salary_currency","teleworking","publish_date"
Mecánico/a de Camión -REF 21217,"Funciones
Se busca una persona  responsable para llevar a cabo un mantenimiento preventivo regular en los camiones de servicio, incluyendo:

- Localización de averías: detección de averías en el sistema mecánico, hidráulico y neumático. 
Inspeccionar, diagnosticar y reparar motores, embragues, cajas de cambio, sistema de frenos, etc.
- Sustitución y ajuste: cambios en la suspensión y dirección.
- Documentar y notificar a su superior todas las reparaciones hechas en el vehículo.
- Seguir las medidas y procedimientos de seguridad aplicables al realizar las reparaciones.
- Mantener el inventario de las piezas y herramientas comúnmente utilizadas.
- Llevar a cabo las actividades administrativas que sean necesarias.
- Mantener en el estado óptimo las herramientas y maquinarias utilizadas.

Se ofrece
- Formación
- Incorporación inmediata a un equipo de trabajo profesional.
- Contrato: Eventual y posteriormente indefinido.
- Salario : depende del perfil profesional y convenio colectivo


FCC MEDIO AMBIENTE, es una empresa comprometida con la igualdad y la conciliación, el proceso de reclutamiento de esta oferta garantiza la igualdad de oportunidades a todas las candidaturas sin distinción de raza, color, religión, sexo, origen nacional, edad, orientación sexual, identidad de género o cualquier otra característica protegida por la Ley.

¡Te estamos buscando!
- Únete a nuestro equipo, ahora es el momento -",Zaragoza,Contrato de duración determinada,Jornada completa,FCC Medio Ambiente,,,,,Trabajo solo presencial,2022-01-27
Peón/a fin de semana - REF 20085,"Buscamos colaboración en las siguientes tareas:

Limpieza de calles individualmente con carro, baldeos manuales con manguera, brigadas de limpieza, recogida de contenedores y limpieza y recogida de áreas de contenedores.

¿Qué ofrecemos?
- Tipo de contrato: temporal
- Salario según el tipo de jornada, perfil y convenio. La distribución se realiza en 11 pagos en función de los días trabajados, el mes de vacaciones y pagas de verano, navidad, beneficios y Pilar.
- El puesto será desempeñado exclusivamente en jornada de sábado o sábado y domingo, y según necesidades y expectativas del candidato se le asignará uno de estos horarios en turno fijo:

Turno de mañana: de 7 a 13:40 horas.
Turno de tarde:      de 14 a 20:40 horas.
Turno de noche:     de 12 a 6:40 horas.
- Incorporación en un equipo profesional, con buen ambiente de trabajo y posibilidades de desarrollo profesional.

FCC MEDIO AMBIENTE, es una empresa comprometida con la igualdad y la conciliación, el proceso de reclutamiento de esta oferta garantiza la igualdad de oportunidades a todas las candidaturas sin distinción de raza, color, religión, sexo, origen nacional, edad, orientación sexual, identidad de género, discapacidad o cualquier otra característica protegida por la Ley.
¡Te estamos buscando!

- Únete a nuestro equipo, ahora es el momento -

https://www.youtube.com/watch?v=HFh0hZEmVNU&t=2s",Zaragoza,Contrato de duración determinada,Jornada indiferente,FCC,,,,,Trabajo solo presencial,2022-01-27
Atención al público en sala VIP en el aeropuerto de Lanzarote,"Clece es una compañía líder a nivel nacional en externalización de servicios auxiliares, comprometida en garantizar la igualdad de oportunidades, promoviendo la presencia equilibrada entre mujeres y hombres y fomentando la inclusión laboral de colectivos vulnerables.
Se requiere personal para la atención al público en la sala VIP del aeropuerto de Guacimeta, en Lanzarote.
Las funciones son las de atender a los/as usuairos/as de la sala VIP, dándoles la información que precisen sobre sus vuelos o el aeropuerto en general y atendiendo las demandas que realicen respecto a los diferentes artículos y servicios a los que pueden acceder dentro de la propia sala.
Las condiciones son: horario rotativo (mañana y tarde) y jornada completa
Los requisitos son: tener experiencia en el aeropuerto y tener un nivel alto de inglés",Arrecife,Contrato de duración determinada,Jornada completa,Multiservicios Aeroportuarios,,,,,Trabajo solo presencial,2022-01-27
TECNICO/A SUPERIOR de Seguridad de la Información (temporal),"TECNICO/A SUPERIOR Seguridad de la Información  (temporal)

Buscamos a una persona con amplios conocimientos como Técnico Superior Administración, para las oficinas de Endesa en Madrid.

 

¿Qué se hace en la Business Line y en la unidad?

Security Iberia tiene como propósito proteger eficazmente a las personas, las infraestructuras y los negocios de la compañía, con procesos eficientes y sostenibles, bajo el estricto cumplimiento del marco normativo.

 

Sus funciones principales son evaluar y gestionar los riesgos de seguridad para las personas, la información y las infraestructuras que puedan afectar a la actividad empresarial; garantizar la identificación e implementación de soluciones técnicas, organizativas y de gestión para mitigar el impacto de los riesgos identificados; implementar los procedimientos de seguridad conforme a las políticas del Grupo Enel y gestionar las relaciones con las autoridades y asegurar el cumplimiento de la legislación relacionada con la seguridad.                            

                             

¿Qué vas a hacer?

Las actividades principales de la posición será la coordinación de las actuaciones de Seguridad de la Información entre las distintas áreas de la compañía involucradas en los mismos y con los proveedores externos que ofrecen los servicios.

Las funciones principales serán:

- Gestión del Servicio de prevención y gestión de riesgos, encargándose de la clasificación, análisis y tratamiento de las amenazas (fraude comercial y eléctrico, usurpación de marca, estafa, tráfico ilegal de datos, etc.) detectadas por el Servicio, con las distintas áreas afectadas.

- Coordinación de la realización de huellas virtuales, encargándose de la clasificación de las amenazas encontradas por el Servicio y coordinación de las actuaciones necesarias con los responsables de las infraestructuras para su resolución.

- Coordinación de la implantación de medidas de ciberseguridad en los sistemas de seguridad física.

- Participar activamente en la definición y ejecución el Plan de formación y concienciación en Seguridad.

- Actualizar y reportar los indicadores de actividad y de seguimiento presupuestario en su ámbito.

- Identificar nuevas áreas en las que la unidad de Seguridad Iberia pueda aportar valor a los procesos de negocio dentro de su ámbito de actuación.            

- Dar soporte y apoyo en las preparaciones de formación en seguridad internas.",Madrid,Contrato de duración determinada,Jornada completa,ENDESA,,,,,,2022-01-27
Administrativo/va,"Somos una organización de más de 30 años de experiencia en asesoramiento global en áreas de fiscal, legal, laboral, consultoría y auditoria y M&A. Contamos con un equipo de más de 145 profesionales especializaos.
Estamos buscando para nuestro equipo de Administración, Administrativo/va a tiempo parcial - mañanas.

Se ofrece:

Buena proyección profesional, un entorno y ambiente de trabajo excelente, una adecuada conciliación familiar y formación, así como la incorporación en un proyecto en crecimiento.
Plan de Conciliación: Jornada Flexible
Las principales Tareas serán;

Tareas administrativas

Dar apoyo al área de contabilidad
Dar apoyo al área de facturación
Gestiones con la administración publica
Atención al cliente.",Vic,Contrato a tiempo parcial,Jornada parcial - mañana,Vilar Riba,8000,12000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Técnico/a Help-Desk Barcelona,"ILUNION, personas trabajando para personas.

Estamos buscando un/a profesional para incorporar a nuestra empresa en Barcelona, quien

Se encargará de ofrecer servicios de atención y soporte informático a usuarios sobre infraestructuras generalmente con Sistema Operativo Windows 10, aplicaciones Microsoft 365 y aplicaciones propias de los clientes.

SBA: 17.000 €",Barcelona,Contrato otros contratos,Jornada completa,ILUNION IT Services,15000,18000,YEAR,EUR,Teletrabajo posible,2022-01-27
Fullstack Developer JavaScript/C#,"Nuestro cliente es una compañía dinámica, moderna y en constante evolución ubicada en Barcelona . Con una gran proyección que pretende romper las barreras de la comunicación con un software especializado que pueda crear esa comunicación y transparencia a través de una plataforma inteligente. 

Actualmente están en búsqueda de un/a profesional Fullstack ,con visión de producto. Que no le de miedo aprender, crecer y que quiera sentir el producto como propio, haciéndole participe de negocio pero más notablemente de la parte técnica. Tendrá esa libertad de desarrollo y mejora constante dentro de la misma plataforma. 

Responsabilidades. 

Con total autonomía, se hará con la autonomía de la plataforma y participará directamente con las decisiones de producto, así como nuevas funcionalidades, mejoras, mantener la calidad de código, etc. 

Requisitos
- Formación superior en ingeniería informática, telecomunicaciones o grado superior similar. 
- 5 años de experiencia relevante a tiempo completo (en desarrollo web al menos 3 años).
Experiencia con código propio y con las siguientes tecnologías: 
- Javascript (NodeJS, ReactJS, React Native y Angular JS). 
- C# (.NET framework 4.6, Entity Framework Code First).  
- SQL. Nivel alto.
- Docker, Kubernetes. Nivel medio.
- Autonomía y responsabilidad en el día a día. 
- Capacidad de priorización, organización, autogestión. 


Beneficios. 
	· Flexibilidad de horario. 
	· Contrato indefinido. 
	· Stock Options de la compañía. 
	· Un rol polivalente con un gran equipo humano y autonomía. 
Salario 35k - 45k.",Barcelona,Contrato indefinido,Jornada completa,Q-TECH,30000,,YEAR,EUR,Teletrabajo posible,2022-01-27
"Técnico/a de configuración de dispositivos móviles (Android, iOS)","Capgemini es un líder mundial, responsable y multicultural, formado por un equipo de 270.000 personas y presente en cerca de 50 países. Como partner estratégico de las empresas para la transformación de sus actividades aprovechando el poder de la tecnología, el Grupo actúa como guía para hacer realidad este objetivo: liberar las energías humanas a través de la tecnología para un futuro inclusivo y duradero. Con más de 50 años de experiencia y un gran conocimiento en diferentes sectores, Capgemini es reconocida por sus clientes por su capacidad de respuesta al conjunto de sus necesidades, desde la estrategia y el diseño hasta la gestión de operaciones, teniendo en cuenta las innovaciones en áreas en evolución continua de la Nube, los datos, la IA, la conectividad, el software y las plataformas y entornos digitales. El Grupo alcanzó una cifra de negocio de 16.000 millones de euros en 2020.

Actualmente nos encontramos seleccionando un perfil Tecnico/a de configuración de dispositivos móviles para trabajar con un importante cliente dentro del área de negocio CIS de la compañía. 

 Requisitos mínimos:
-	Experiencia en herramientas de gestión de dispositivos móviles (MDM Airwatch)
-	Gestión de configuración de dispositivos móviles (Android, iOS)


Tareas: 
-	Gestión de configuración de dispositivos móviles (Android, iOS)
-	Despliegue de aplicaciones a dispositivos móviles
-	Automatización de procesos para integración continua de aplicaciones nativas (Android, iOS)

Incorporate al equipo y...:
·	Trabajarás en un ambiente de trabajo dinámico e inclusivo 
·	Formarás parte de proyectos tecnológicos punteros e innovadores. 
·	Tendrás la oportunidad de participar en una gran oferta de cursos de alto nivel
·	Tendrás un salario competitivo acorde a tu perfil profesional
·	Te beneficiarás del pack de beneficios sociales: tickets restaurantes, tickets guardería, seguro de vida y seguro de salud
·	Formarás parte de una empresa comprometida con igualdad de oportunidades 
·	Tendrás la oportunidad de participar en numerosos eventos de equipo
·	Contrato de trabajo indefinido 
·	Modalidad de trabajo hibrido o teletrabajo (según proyecto) 


En Capgemini estamos comprometidos con la diversidad y la inclusión. La diversidad es fuente de innovación e inspiración. Estamos comprometidos con los profesionales, independientemente de la etnia, identidad de género, discapacidad, orientación sexual o cualquier otra dimensión de la diversidad",Valencia,Contrato indefinido,Jornada completa,Capgemini,,,,,Teletrabajo posible,2022-01-27
"Graduados en Ingeniería mecánica o Ingeniería de Diseño Industrial y Desarrollo del Producto con conocimientos en creación y desarrollo de ideas, productos y proyectos.","Empresa dedicada al sector aeronáutico.
Seleccionamos Graduados en ingeniería Mecánica o de Diseño Industrial y Desarrollo del Producto.
Desarrollará las siguientes funciones: creación y desarrollo de ideas, productos y proyectos enfocados en su mayor parte en entornos aeroportuarios.
Diseño mecánico de los productos y proyectos a través de modelado 3D.
Creación de prototipos, redacción de memorias explicativas de ensayos y conclusiones, y redacción de patentes.",Madrid,Contrato otros contratos,Jornada completa,gesnaer consulting,,,,,Trabajo solo presencial,2022-01-27
Java Developer- 100% remote,"We are looking for a software developer with proven experience in Cloud native software stacks and execution environments (Kubernetes, Dockers).

KEY REQUIREMENTS

Experience in Java.
Experience using cloud native technologies - Microservices (Springboot), Event-driven programming (Spring Cloud Streams / Kafka, RabbitMQ) and containers /orchestration (docker, Kubernetes).
Strong test development and test practices including code reviews.
Knowledge of database concepts: SQL and no-SQL (Geode, Cassandra)
WHAT WE OFFER

Remote work

Permanent full-time contract with a competitive salary.

Flexible working hours

The experience of being part of a great international team

Training budget (certification, conferences attendance...)",Madrid,Contrato indefinido,Jornada completa,Blue Telecom Consulting,,,,,Solo teletrabajo,2022-01-27
